"The file ""%1"" does not exist","The file ""%1"" does not exist"
"Invalid XML in file %1:\n%2","Invalid XML in file %1:\n%2"
.,.
"The consumer isn't authorized to access %1","The consumer isn't authorized to access %1"
"Please specify the profile ID","Please specify the profile ID"
"The process has been started.","The process has been started."
"Current status: %1; Processed Records: %2/%3","Current status: %1; Processed Records: %2/%3"
"Class %1 must implement %2 interface","Class %1 must implement %2 interface"
"Profile runner with type ""%1"" not found","Profile runner with type ""%1"" not found"
"The PHP function exec is disabled. Please contact your system administrator or your hosting provider.","The PHP function exec is disabled. Please contact your system administrator or your hosting provider."
"Error occurred during ""%field_name"" processing. %details","Error occurred during ""%field_name"" processing. %details"
